the_geom,OBJECTID,NAME,LOC_ID,ELEV,FUNC_LEVEL,ASSOCCITY,FIPSCITY,COUNTY,FIPSCOUNTY,REGION,TPRID,ISNHS,NEARCITY,NEARHWY,AIRPORTTYP,AIRCRAFTOP,AIRPORTHOU,ANNUALOPS_,ANNUALPASS,RUNWAYS,RUNWAYLENG,RUNWAYSURF,LIGHTING,NAVIGATION,NEARRECREA,COMMENTS,X_COORD,Y_COORD,LAT,LONG_
POINT (-102.60325000450602 40.62498999950671),53,Haxtun Municipal Airport,17V,4035,Minor,Haxtun,34960,Phillips,095,4,6,N,Haxtun,CR25/CR7,GA,21/month,Unattended,250,0,2,"8/26 3860x40,  17/35 1650x30","Asphalt,Turf",8/26 LIRL,"CTAF, FSS",Haxtun,R/Y 8/26 has no threshold lights,702717.58338,4499890.28407,40.62499,-102.60325
POINT (-102.27268999635749 40.569429998412666),54,Holyoke Municipal Airport,HEQ,3730,Intermediate,Holyoke,37270,Phillips,095,4,6,N,Holyoke,AirportRd24/CR41,GA,125/week,Attended irregularly,6530,0,1,17/35 3565x55,Asphalt,LIRL,"CTAF, UNI, FSS, NDB/GPS",None,"AgriculturalOperations,Powerlines",730870.67669,4494536.59917,40.56943,-102.27269
POINT (-106.86886000226522 39.2231699985533),55,Aspen/Pitkin County Airport,ASE,7820,Major,Aspen,03620,Pitkin,097,3,11,Y,Aspen,SH82,CS,128/day,Open 7A-11P,72108,216868,1,15/33 7004x100,Asphalt,MIRL,"ATIS, CTAF, UNI, VOR DME/GPS-C","Snowskiing,bike,hike,rafting,ballooning,hanggliding,skating,theatre,dancing",HighMountainTerrain,338675.9322,4343206.50316,39.22317,-106.86886
POINT (-102.68850000179552 38.0696899966637),56,Lamar Municipal Airport,LAA,3706,Major,Lamar,43110,Prowers,099,2,7,Y,Lamar,SH287,GA,37/day,Attended 8A-6P,13508,0,2,"18/36 6304x100,  8/26 5001x60","Asphalt,Asphalt","All Runways, MIRL","CTAF, UNI, ASOS, VOR/VOR DME/GPS","BigTimersMuseum,SantaFeTrailMarker,MadonnaOfTheTrail,golf,tennis","Prior permission for aircraft with more than 30 passenger seats, call dispatch 719-336-3977",702764.62915,4216070.12137,38.06969,-102.6885
POINT (-102.11712999857613 38.03333999562277),57,Holly Airport,K08,3390,Minor,Holly,37215,Prowers,099,2,7,Y,Holly,SH89,GA,28/week,On call,1460,0,1,17/35 4140x40,Gravel,LIRL,"CTAF, FSS","SantaFeTrail,horseracing,theatre,arcade","Loose gravel on runway full length, runway soft when wet",753019.60186,4213437.90048,38.03334,-102.11713
POINT (-104.49656999988348 38.289090002391696),58,Pueblo Memorial Airport,PUB,4726,Major,Pueblo,62000,Pueblo,101,2,4,Y,Pueblo,US50,CS,240/day,Attended 6A-10P,142606,5192,3,"8L/26R 10496x150,   17/35 8308x150,   8R/26L 4073x75","Asphalt,Asphalt,Asphalt","8L/26R HIRL, 17/35 MIRL","ATIS, VORTAC, RCO, ASOS, ILS/NDB/VOR/GPS/ASR","ColoradoStateFair,LakePueblo,UnionAvenueHistoricDistrict,NatureCenter",RY 8R/26L available to light acft. During daylight hours,544025.86699,4238010.79573,38.28909,-104.49657
POINT (-108.76304000187922 40.09397999805439),59,Rangely Airport,4V0,5275,Intermediate,Rangely,62880,Rio Blanco,103,3,12,N,Rangely,SH64,GA,129/day,"Attended ALL Mon-Fri 0800-1700, ALL  SAT-SUN on call",47115,0,2,"6/24 6400x75,  3/21 2460x65","Asphalt,Asphalt",6/24 MIRL,"CTAF, UNI, FSS","Utah,ColoNWCommCollege,DinasaurNatlMont,swim,tennis,golf,racquetball",DeerOnAirport,179189.12016,4444978.50921,40.09398,-108.76304
POINT (-107.88591999511672 40.0487999962589),60,Meeker Airport,EEO,6421,Major,Meeker,49875,Rio Blanco,103,3,12,N,Meeker,SH13,GA,22/day,Attended continuously,8070,0,1,3/21 6500x60,Asphalt,MIRL,"CTAF, UNI, VOR/GPS-A","Museum,Trapper'sLake,WhiteRiverNatlFor,camp,fish,hunt","Deer,Elk,WaterfowlOnAirport",253816.0796,4437164.73443,40.0488,-107.88592
POINT (-106.35448000490398 37.71361000327494),61,Del Norte Municipal  Airport,8V1,7949,Minor,Del Norte,19795,Rio Grande,105,5,8,Y,Del Norte,SH112,GA,23/week,Unattended,1200,0,2,"8/26 3775x49,   2/20 6015x60","Asphalt,Turf",8/26 LIRL,"CTAF, FSS, RC",WolfCrkSki,"WildlifeOnAirport, MountainousTerrain",380616.46943,4174903.52463,37.71361,-106.35448
POINT (-106.04604999613397 37.52855999674043),62,Monte Vista Municipal Airport,MVI,7608,Intermediate,Monte Vista,51635,Rio Grande,105,5,8,Y,Monte Vista,US160/285,GA,126/week,Attended M-F 8A-5P Sat & Sun on call,6600,0,3,"2/20 5900x60,   16/34 2350x30,   10/28 2200x40","Asphalt,Dirt,Dirt",2/20 MIRL,"CTAF, UNI, FSS, NDB, VOR, DME/GPS-A/NDB/GPS",CampingOnAirport,AgriculturalOperations,407573.45266,4154023.85937,37.52856,-106.04605
